Ingredient	red	orange	yellow	green_light	green_dark	purple	has_cat	egg_substitute	mayo_vegan	milk_substitute	cheese_substitute	sour_cream_substitute	yogurt_substitute	chicken_substitute	meat_substitute	sausage_substitute	mushrooms	yeast	grain_flour	wheat_flour	cornmeal	grains	wheat	oats	corn	rice	gluten	pasta	noodles	rice_noodles	artichoke	mustard	avocado	sesame_paste	seeds	nuts	almonds	coconut	peanuts	banana_blossom	olives	capers	sesame_oil	olive oil	margarine	oil	pesto	pepper_spice	curry	smoke	spices_misc	spices_warm	vanilla	coffee	chocolate	tea	legume_tuber_flour	bean_thread_noodles	okra	green_beans	pea_pods	tofu	miso	soybeans	beans	lentils	chickpeas	peas	mung_beans	tapioca	water_chestnuts	tubers	horseradish	ginger	fennel	carrots	beets	palm_hearts	bamboo	sweet_potatoes_yams	potatoes	garlic	leeks_green_onions	onions_shallots	sprouts	rhubarb	greens	spinach	chicory	lettuce	kale	broccoli	cauliflower	cabbage	asparagus	seaweed	clover_blossoms	vegetable_stock	herbs	celery	tomatoes	eggplants	bell_peppers	chili_pepper	cajun_spice	squashes_gourds	plantains_bananas	melons	cucumbers	dates	figs	raisins	cranberries	strawberries	berries_pomegranate	grapes	tropical_fruits	mangoes	pineapple	persimmons	peaches	plums_apricots	cherries	pears	apples	citrus	vinegar	soy_sauce	worcestershire_sauce	fruit_vinegar	cider	wine_vinegar	wine	beer	alcohol_liqueur	pectin_agar-agar	sugar	raw_sugar	maple_syrup	syrups	molasses	sugar
sage							TRUE																																																																																												y																																											
sage leaves							TRUE																																																																																												y																																											
sake							TRUE																																																																																																																																y							
salad dressing							FALSE																																																																																																																																							
salad greens					y		TRUE																																																																																y																																																							
salad leaves					y		TRUE																																																																																y																																																							
salad oil							TRUE																																							y																																																																																																
salsa							FALSE																																																																																																																																							
salsa verde							FALSE																																																																																																																																							
salt							FALSE																																																																																																																																							
salt & fresh ground pepper							TRUE																																									y																																																																																														
salt & freshly ground black pepper							TRUE																																									y																																																																																														
salt & pepper							TRUE																																									y																																																																																														
salt and black pepper							TRUE																																									y																																																																																														
salt and pepper							TRUE																																									y																																																																																														
salt free herb and spice seasoning mix							TRUE																																																																																												y																																											
salt substitute							FALSE																																																																																																																																							
salted cashews							TRUE																													y																																																																																																										
salted peanuts							TRUE																																y																																																																																																							
salt-free garlic powder							TRUE																																																																											y																																																												
salt-free lemon pepper							TRUE																																									y																																																																																														
salt-free onion powder							TRUE																																																																													y																																																										
saltine crackers							FALSE																																																																																																																																							
sambal oelek							TRUE																																																																																																	y																																						
satay sauce							FALSE																																																																																																																																							
sauerkraut							TRUE																																																																																							y																																																
savory							TRUE																																																																																												y																																											
savoy cabbage				y			TRUE																																																																																							y																																																
sazon goya							FALSE																																																																																																																																							
scallion					y		TRUE																																																																												y																																																											
scallion top					y		TRUE																																																																												y																																																											
scallions					y		TRUE																																																																												y																																																											
scotch							TRUE																																																																																																																																y							
scotch bonnet pepper	y	y			y		TRUE																																																																																																	y																																						
scotch bonnet peppers	y	y			y		TRUE																																																																																																	y																																						
sea salt							FALSE																																																																																																																																							
seasoned rice vinegar							TRUE																																																																																																																								y															
seasoning							FALSE																																																																																																																																							
seasoning salt							FALSE																																																																																																																																							
seedless cucumber				y	y		TRUE																																																																																																						y																																	
seedless european cucumber				y	y		TRUE																																																																																																						y																																	
seedless grapes				y			TRUE																																																																																																													y																										
seedless oranges		y					TRUE																																																																																																																							y																
seedless raspberry jam							TRUE																																																																																																												y																											
seedless watermelon	y						TRUE																																																																																																					y																																		
seeds							TRUE																												y																																																																																																											
seitan							TRUE																				y																																																																																																																			
self-rising cornmeal							TRUE														y																																																																																																																									
self-rising flour							TRUE													y																																																																																																																										
semi-sweet chocolate chips							TRUE																																																y																																																																																							
semolina							TRUE													y																																																																																																																										
serrano chili					y		TRUE																																																																																																	y																																						
serrano chili pepper					y		TRUE																																																																																																	y																																						
serrano chilies					y		TRUE																																																																																																	y																																						
serrano pepper					y		TRUE																																																																																																	y																																						
serrano peppers					y		TRUE																																																																																																	y																																						
sesame oil							TRUE																																				y																																																																																																			
sesame paste							TRUE																											y																																																																																																												
sesame seed oil							TRUE																																				y																																																																																																			
sesame seeds							TRUE																												y																																																																																																											
seven-grain cereal							FALSE																																																																																																																																							
shallot							TRUE																																																																													y																																																										
shallots							TRUE																																																																													y																																																										
sherry wine							TRUE																																																																																																																														y									
sherry wine vinegar							TRUE																																																																																																																													y										
shiitake mushroom							TRUE										y																																																																																																																													
shiitake mushroom caps							TRUE										y																																																																																																																													
shiitake mushrooms							TRUE										y																																																																																																																													
shiso							TRUE																																																																																												y																																											
shiso leaves							TRUE																																																																																												y																																											
shoe peg corn			y				TRUE																		y																																																																																																																					
shoestring carrots		y					TRUE																																																																					y																																																																		
shortening							TRUE																																						y																																																																																																	
short-grain brown rice							TRUE																			y																																																																																																																				
short-grain rice							TRUE																			y																																																																																																																				
shoyu							TRUE																																																																																																																									y														
shredded coconut							TRUE																															y																																																																																																								
silken tofu							TRUE																																																							y																																																																																
sliced almonds							TRUE																														y																																																																																																									
sliced apples							TRUE																																																																																																																						y																	
sliced mushrooms							TRUE										y																																																																																																																													
sliced ripe olives							TRUE																																		y																																																																																																					
sliced water chestnuts							TRUE																																																																y																																																																							
slivered almonds							TRUE																														y																																																																																																									
sloppy joe sandwich sauce							FALSE																																																																																																																																							
small mushrooms							TRUE										y																																																																																																																													
small onion							TRUE																																																																													y																																																										
small potatoes							TRUE																																																																										y																																																													
small red potatoes							TRUE																																																																										y																																																													
small white beans							TRUE																																																										y																																																																													
small whole wheat pasta shells							TRUE																					y																																																																																																																		
smoked paprika							TRUE																																											y																																																						y																																						
smoked tofu							TRUE																																											y												y																																																																																
smooth cashew butter							TRUE																													y																																																																																																										
smooth peanut butter							TRUE																																y																																																																																																							
snap peas					y		TRUE																																																						y																																																																																	
snow peas					y		TRUE																																																						y																																																																																	
soba noodles							TRUE																						y																																																																																																																	
soda water							FALSE																																																																																																																																							
sodium-free seasoning							TRUE																																												y																																																																																											
sodium-free vegetable broth							TRUE																																																																																											y																																												
soft brown sugar							FALSE																																																																																																																																			y				y
soft silken tofu							TRUE																																																							y																																																																																
soft tofu							TRUE																																																							y																																																																																
soup							TRUE																																																																																											y																																												
soup mix							TRUE																																																																																											y																																												
sour orange juice							TRUE																																																																																																																							y																
sourdough bread							FALSE																																																																																																																																							
sourdough starter							FALSE																																																																																																																																							
southwest seasoning							FALSE																																																																																																																																							
soy cheddar cheese							TRUE				y																																																																																																																																			
soy cheese							TRUE				y																																																																																																																																			
soy crumbles							TRUE								y																																																																																																																															
soy flour							TRUE																																																		y																																																																																					
soy ice cream							FALSE																																																																																																																																							
soy margarine							FALSE																																																																																																																																							
soy mayonnaise							TRUE		y																																																																																																																																					
soy mozzarella cheese							TRUE				y																																																																																																																																			
soy sauce							TRUE																																																																																																																									y														
soy yogurt							TRUE						y																																																																																																																																	
soya oil							TRUE																																							y																																																																																																
soya sauce							TRUE																																																																																																																									y														
soybeans							TRUE																																																									y																																																																														
soymilk							TRUE			y																																																																																																																																				
soymilk powder							TRUE			y																																																																																																																																				
spaghetti							TRUE																					y																																																																																																																		
spaghetti sauce	y						TRUE																																																																																														y																																									
spaghetti sauce mix							FALSE																																																																																																																																							
spaghetti squash		y	y				TRUE																																																																																																			y																																				
spanish olive oil							TRUE																																					y																																																																																																		
spanish olives							TRUE																																		y																																																																																																					
spanish onion							TRUE																																																																													y																																																										
spanish onions							TRUE																																																																													y																																																										
spelt berries							TRUE															y																																																																																																																								
spelt flour							TRUE												y																																																																																																																											
spiced rum							TRUE																																																																																																																																y							
spices							FALSE																																																																																																																																							
spicy brown mustard							TRUE																									y																																																																																																														
spicy hot v8	y						TRUE																																																																																														y																																									
spicy mustard							TRUE																									y																																																																																																														
spicy vegetable juice	y						TRUE																																																																																														y																																									
spike seasoning							TRUE																																												y																																																																																											
spinach					y		TRUE																																																																																	y																																																						
spinach leaves					y		TRUE																																																																																	y																																																						
splenda granular							FALSE																																																																																																																																		y					y
splenda sugar substitute							FALSE																																																																																																																																		y					y
split peas							TRUE																																																													y																																																																										
split red lentils							TRUE																																																											y																																																																												
split yellow lentils							TRUE																																																											y																																																																												
spring onion							TRUE																																																																													y																																																										
spring onions							TRUE																																																																													y																																																										
spring roll wrappers							FALSE																																																																																																																																							
squash		y	y				TRUE																																																																																																			y																																				
sriracha sauce							TRUE																																																																																																	y																																						
stale bread							FALSE																																																																																																																																							
star anise							TRUE																																												y																																																																																											
star anise pods							TRUE																																												y																																																																																											
steak seasoning							TRUE																																												y																																																																																											
steel cut oats							TRUE																	y																																																																																																																						
stevia							FALSE																																																																																																																																		y					y
stewed tomatoes	y						TRUE																																																																																														y																																									
stir fry vegetables							FALSE																																																																																																																																							
stir-fry sauce							FALSE																																																																																																																																							
stone ground corn grits							TRUE														y																																																																																																																									
stone ground mustard							TRUE																									y																																																																																																														
stone ground whole wheat flour							TRUE													y																																																																																																																										
strawberries	y						TRUE																																																																																																											y																												
strawberry	y						TRUE																																																																																																											y																												
strawberry jam							TRUE																																																																																																											y																												
string beans					y		TRUE																																																					y																																																																																		
stuffed green olives				y			TRUE																																		y																																																																																																					
stuffed olives							TRUE																																		y																																																																																																					
sucanat							FALSE																																																																																																																																			y				y
sugar							FALSE																																																																																																																																		y					y
sugar snap pea					y		TRUE																																																						y																																																																																	
sugar snap peas					y		TRUE																																																						y																																																																																	
sugar substitute							FALSE																																																																																																																																		y					y
sugar-free syrup							FALSE																																																																																																																																					y		
sultana							TRUE																																																																																																									y																														
sultanas							TRUE																																																																																																									y																														
sumac							TRUE																																												y																																																																																											
sumaq							TRUE																																												y																																																																																											
summer savory							TRUE																																																																																												y																																											
summer squash		y	y	y			TRUE																																																																																																			y																																				
sun-dried tomato	y						TRUE																																																																																														y																																									
sun-dried tomato olive oil	y						TRUE																																					y																																																									y																																									
sun-dried tomato packed in oil	y						TRUE																																							y																																																							y																																									
sun-dried tomato paste	y						TRUE																																																																																														y																																									
sun-dried tomatoes	y						TRUE																																																																																														y																																									
sun-dried tomatoes packed in oil	y						TRUE																																							y																																																							y																																									
sunflower oil							TRUE																																							y																																																																																																
sunflower seeds							TRUE																												y																																																																																																											
superfine sugar							FALSE																																																																																																																																		y					y
sushi rice							TRUE																			y																																																																																																																				
swede							TRUE																																																																	y																																																																						
sweet and sour sauce							FALSE																																																																																																																																							
sweet basil							TRUE																																																																																												y																																											
sweet bell pepper					y		TRUE																																																																																																y																																							
sweet bell peppers					y		TRUE																																																																																																y																																							
sweet cherries	y						TRUE																																																																																																																				y																			
sweet chili sauce							TRUE																																																																																																	y																																						
sweet corn			y				TRUE																		y																																																																																																																					
sweet gherkins							FALSE																																																																																																																																							
sweet green pepper					y		TRUE																																																																																																y																																							
sweet green peppers					y		TRUE																																																																																																y																																							
sweet hungarian paprika							TRUE																																																																																																	y																																						
sweet onion							TRUE																																																																													y																																																										
sweet onions							TRUE																																																																													y																																																										
sweet paprika							TRUE																																																																																																	y																																						
sweet pepper					y		TRUE																																																																																																y																																							
sweet peppers					y		TRUE																																																																																																y																																							
sweet pickle juice							FALSE																																																																																																																																							
sweet pickle relish							FALSE																																																																																																																																							
sweet potato		y					TRUE																																																																									y																																																														
sweet potato puree							TRUE																																																																									y																																																														
sweet potatoes		y					TRUE																																																																									y																																																														
sweet red apples							TRUE																																																																																																																						y																	
sweet red pepper	y						TRUE																																																																																																y																																							
sweet red peppers	y						TRUE																																																																																																y																																							
sweet rice flour							TRUE													y																																																																																																																										
sweet smoked paprika							TRUE																																											y																																																						y																																						
sweet white onion							TRUE																																																																													y																																																										
sweet white onions							TRUE																																																																													y																																																										
sweet white wine							TRUE																																																																																																																														y									
swiss brown mushrooms							TRUE										y																																																																																																																													
swiss chard					y		TRUE																																																																																y																																																							
syrup							FALSE																																																																																																																																					y		
szechuan peppercorns							TRUE																																												y																																																																																											
szechuan sauce							FALSE																																																																																																																																							
tabasco brand chipotle pepper sauce							TRUE																																																																																																	y																																						
tabasco jalapeno sauce							TRUE																																																																																																	y																																						
tabasco sauce							TRUE																																																																																																	y																																						
table salt							FALSE																																																																																																																																							
taco seasoning							FALSE																																																																																																																																							
taco seasoning mix							FALSE																																																																																																																																							
taco shells							FALSE																																																																																																																																							
tahini							TRUE																											y																																																																																																												
tahini paste							TRUE																											y																																																																																																												
tahini sauce							TRUE																											y																																																																																																												
tahini sesame butter							TRUE																											y																																																																																																												
tamari							TRUE																																																																																																																									y														
tamari soy sauce							TRUE																																																																																																																									y														
tamarind chutney							FALSE																																																																																																																																							
tamarind paste							TRUE																																												y																																																																																											
tamarind powder							TRUE																																												y																																																																																											
tamarind pulp							TRUE																																												y																																																																																											
tandoori spice mix							TRUE																																																																																																	y																																						
tangerine		y					TRUE																																																																																																																							y																
tangerine zest							TRUE																																																																																																																							y																
tapioca flour							TRUE																																																															y																																																																								
tapioca starch							TRUE																																																															y																																																																								
taro root							TRUE																																																																									y																																																														
tarragon							TRUE																																																																																												y																																											
tarragon vinegar							TRUE																																																																																												y																												y															
tart apple							TRUE																																																																																																																						y																	
tart apples							TRUE																																																																																																																						y																	
tea							TRUE																																																	y																																																																																						
tea bag							TRUE																																																	y																																																																																						
tempeh							TRUE																																																							y																																																																																
tempura flour							TRUE													y																																																																																																																										
tequila							TRUE																																																																																																																																y							
teriyaki marinade							TRUE																																																																																																																									y														
teriyaki sauce							TRUE																																																																																																																									y														
textured soy protein granules							TRUE																																																									y																																																																														
textured vegetable protein							FALSE																																																																																																																																							
thai basil							TRUE																																																																																												y																																											
thai chiles	y						TRUE																																																																																																	y																																						
thai green chili					y		TRUE																																																																																																	y																																						
thai peppers	y						TRUE																																																																																																	y																																						
thai red chili peppers	y						TRUE																																																																																																	y																																						
thai red curry paste							TRUE																																										y																																																																																													
thin spaghetti							TRUE																					y																																																																																																																		
thyme							TRUE																																																																																												y																																											
thyme leaves							TRUE																																																																																												y																																											
tiny new potatoes							TRUE																																																																										y																																																													
